南山寺,18.2899489114,109.2020724312
天涯海角,18.2932997333,109.3512095293
亚龙湾,18.2473083811,109.6243861861
鹿回头,18.2115396041,109.4943241540
大小洞天,18.3631944101,109.1245794107
亚龙湾玫瑰谷,18.2408132699,109.6171150661
半岭温泉,18.3309637563,109.5260994956
锦母角,18.1585819191,109.5780132317
牛车湾,18.2477393933,109.7500711640
海角一号,18.2905197333,109.3544095293
槟榔河,18.3118752982,109.4786612205
草蓬水库,18.3660930099,109.5932080561
皇后湾,18.2743221430,109.7282471351
后海湾,18.2556321975,109.7230772419
竹秧口间岭,18.2009141180,109.7024061654
海南南海佛学院,18.2839723424,109.1893813344
凤凰国际机场,18.3075427513,109.4119511500
三亚海螺农场,18.2706819704,109.5283637912
古崖州城,18.3706903618,109.1658863510
罗郁中村,18.2419738699,109.5839431561
